player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Evan Engram,Main-20-FD-16,5300,TE,NYG,8.2,0,0,43.5,16.8,10,10.5,1.280487805
Mike Gesicki,Main-20-FD-14,5700,TE,MIA,8.2,0,0,50.5,21.75,7,21,2.56097561
Kyle Rudolph,Main-20-FD-12,4600,TE,MIN,8.2,0,0,50,26.5,-3,10.3,1.256097561
Robert Tonyan,Main-20-FD-08,5900,TE,GB,8.2,0,0,47,26.3,-5.5,10.4,1.268292683
Hayden Hurst,Main-20-FD-05,5700,TE,ATL,8.2,0,0,53.5,28,-2.5,1.8,0.219512195
Jack Doyle,Main-19-FD-16,6200,TE,IND,8.2,0,0,46,26.8,-7.5,2.7,0.329268293
Delanie Walker,Main-19-FD-05,5300,TE,TEN,8.2,0,0,39.5,21.5,-3.5,1.5,0.182926829
Dallas Goedert,Main-20-FD-15,5900,TE,PHI,8.1,0,0,48.5,21,6.5,5.9,0.728395062
Austin Hooper,Main-20-FD-12,5100,TE,CLE,8.1,0,0,48.5,28,-7.5,8.3,1.024691358
Jimmy Graham,Main-20-FD-08,5400,TE,CHI,8.1,0,0,41,18,5,2.3,0.283950617
