,race__race_name,start_lap,end_lap,reason,comment
262,Folds of Honor QuikTrip 500,114,118,Accident,"#1, 11 Incident Turn 1"
263,Folds of Honor QuikTrip 500,212,217,Competition,Stage 2 Conclusion
264,Folds of Honor QuikTrip 500,221,224,Unknown,Fluid on Track
265,NASCAR Cup Series Championship,8,11,Accident,"#7, 23 Incident Turn 3"
266,NASCAR Cup Series Championship,16,20,Accident,"#7, 47 Incident Turn 3 "
267,NASCAR Cup Series Championship,77,83,Competition,Stage 1 Conclusion
268,NASCAR Cup Series Championship,130,135,Accident,#00 Incident Turn 4
269,NASCAR Cup Series Championship,141,145,Accident,#47 Incident Turn 3
270,NASCAR Cup Series Championship,156,161,Accident,"#14, 18 Incident Turn 3"
271,NASCAR Cup Series Championship,192,197,Competition,Stage 2 Conclusion
272,NASCAR Cup Series Championship,249,254,Accident,#38 Incident Turn 2
273,NASCAR Cup Series Championship,283,288,Debris,Debris in Turn 3
274,In It To Win It 200,17,20,Competition,Competition Caution
275,In It To Win It 200,23,26,Debris,Debris frontstretch
276,In It To Win It 200,28,30,Spin,#9 Spin Turn 2
277,In It To Win It 200,47,52,Competition,Stage 1 Conclusion
278,In It To Win It 200,68,71,Accident,"#02, 24, 99 Incident Turn 4"
279,In It To Win It 200,92,97,Competition,Stage 2 Conclusion
280,In It To Win It 200,107,110,Accident,"#19, 45 Incident Turn 4"
281,In It To Win It 200,112,115,Spin,#34 Spin backstretch
282,Wawa 250,17,21,Weather,Competition / Weather [Red Flag: 16:19:27]
283,Wawa 250,28,33,Accident,"#1, 22, 2, 18, 8 Incident Frontstretch / Stage 1 Conclusion"
284,Wawa 250,36,39,Debris,Debris Turn 2
285,Wawa 250,50,52,Debris,Debris Frontstretch
286,Wawa 250,62,64,Competition,Stage 2 Conclusion
287,Wawa 250,73,77,Accident,"#26, 15, 07 Incident Turn 4"
288,Wawa 250,84,86,Accident,"#90, 31, 48, 5 Incident Backstretch"
289,Ag-Pro 300,27,29,Competition,Stage 1 Conclusion
290,Ag-Pro 300,52,55,Competition,Stage 2 Conclusion
291,Ag-Pro 300,77,79,Spin,#8 Spin Turn 4
292,Steakhouse Elite 200,5,7,Accident,"#17, 26, 07 Incident Backstretch"
293,Steakhouse Elite 200,14,16,Accident,#26 Incident Turn 3
294,Steakhouse Elite 200,22,25,Competition,Competition Caution
295,Steakhouse Elite 200,46,52,Accident,#5 Incident Frontstretch/Stage 1 Conclusion
296,Steakhouse Elite 200,84,87,Accident,"#78, 0 Incident Turn 1"
297,Steakhouse Elite 200,92,99,Competition,Stage 2 Conclusion
298,Steakhouse Elite 200,127,131,Accident,"#52, 07 Incident Backstretch"
299,Steakhouse Elite 200,133,137,Accident,#07 Incident Turn 4
300,Steakhouse Elite 200,143,146,Spin,#6 Spin Turn 2
301,Verizon 200 at the Brickyard,17,19,Competition,Stage 1 Conclusion
302,Verizon 200 at the Brickyard,37,39,Competition,Stage 2 Conclusion
